"driver_name","link_private","link_public"
Alain Prost,https://drive.google.com/file/d/1uHx_WYQwavDrXyuO0mya2zyOcrSEQ-FP/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/b/b1/Festival_automobile_international_2015_-_Photocall_-_065.jpg
Ayrton Senna,https://drive.google.com/file/d/1NB0LLCMG500lQFbxI0lla8TWBwyeXC7K/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/9/9f/Ayrton_Senna_Pesawat_RC_Cropped.jpg
Charles Leclerc,https://drive.google.com/file/d/1igzHcfjcF5cs8GRU2UkbeDcqWHjI5uMr/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/0/08/Charles-Leclerc.jpg
Damon Hill,https://drive.google.com/file/d/1JMFh3vX-Z8MKTecVC-gsUSS6UmhS572-/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/8/89/Damon_Hill_Goodwood_Festival_of_Speed_2019_%2848242679311%29.jpg
Fernando Alonso,https://drive.google.com/file/d/1rFRzhGp6SC6WPih9rsEtcnIbhHGtZWCU/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/2/2b/Alonso_2016.jpg
Juan Pablo Montoya,https://drive.google.com/file/d/1YL7W2Mcirx9UU9iMuYqGgO9I_jRXr7V2/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/9/9a/Juan_Pablo_Montoya_at_2021_Indianapolis_500_%2851222252077%29_%28cropped%29.jpg
Kimi Raikkönen,https://drive.google.com/file/d/1nDQfYTS3BNeAZwsclWLVT2sUXTilNgaK/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/9/96/F12019_Schloss_Gabelhofen_%2822%29.jpg
Lewis Hamilton,https://drive.google.com/file/d/1Ar9KE3Ol853nQdi-fZcHzrnN_lfiqtqT/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/a/ac/Lewis_Hamilton_2022_S%C3%A3o_Paulo_Grand_Prix_%2852498120773%29_%28cropped%29.jpg
Max Verstappen,https://drive.google.com/file/d/1wpNCwueBbRU8Mdy9b0pQeYvxWPUdFyzk/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/8/8f/Max_Verstappen_2017_Malaysia_1.jpg
Michael Schumacher,https://drive.google.com/file/d/1caIBzq2pQVw_B9mM5mlo1rn-vnt96inG/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/3/32/A%C3%A9cio_Neves%2C_Michael_Schumacher_e_Didi_%28Cropped%29.jpg
Mika Häkkinen,https://drive.google.com/file/d/1UDn3iUsB_Y8hZpZpkIDg64N_YuNFs8Or/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/f/fd/Formula1Gabelhofen2022_%2811%29.jpg
Nico Rosberg,https://drive.google.com/file/d/1JhhlJmKbQI6GLfpWnHJBblqxJHuuRHwI/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/6/65/Nico_Rosberg-008_%2822964167435%29.jpg
Sebastian Vettel,https://drive.google.com/file/d/1GS8-U6uewdAGFRr_MyQYNZ1MzMtqWqTh/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/5/5e/Sebastian_Vettel_-_2022236172324_2022-08-24_Champions_for_Charity_-_Sven_-_1D_X_MK_II_-_0418_-_B70I2428.jpg
Valtteri Bottas,https://drive.google.com/file/d/1zxcRwthLdwp2Pgw1eh6GHH8GKLnqSZKD/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/5/5f/Valtteri_Bottas_at_the_2022_Austrian_Grand_Prix.jpg
F1,https://drive.google.com/file/d/1k60I8ZltxRvIdkPenfOUggUY-RC0430S/view?usp=drive_link,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/F1.svg/1920px-F1.svg.png
